Tarih,Dağıtılan Enerji (MWh)
2022-08-01 00:00:00,1883.3068034774374
2022-08-01 01:00:00,1854.5041035934476
2022-08-01 02:00:00,1833.9540677272166
2022-08-01 03:00:00,1823.6685272552822
2022-08-01 04:00:00,1818.4274186845964
2022-08-01 05:00:00,1818.0072750897202
2022-08-01 06:00:00,1822.5003716484432
2022-08-01 07:00:00,1843.6409537636725
2022-08-01 08:00:00,1895.0468083987755
2022-08-01 09:00:00,1937.675999229014
2022-08-01 10:00:00,1960.5249215757744
2022-08-01 11:00:00,1975.8459691342687
2022-08-01 12:00:00,1966.5174716656807
2022-08-01 13:00:00,1972.944897769715
2022-08-01 14:00:00,1976.6574011416349
2022-08-01 15:00:00,1970.0093203364208
2022-08-01 16:00:00,1968.6120385041017
2022-08-01 17:00:00,1967.2763305639394
2022-08-01 18:00:00,1968.9769684313098
2022-08-01 19:00:00,1973.6972414346928
2022-08-01 20:00:00,1970.1740727766187
2022-08-01 21:00:00,1957.9606532778823
2022-08-01 22:00:00,1938.2064975450717
2022-08-01 23:00:00,1914.90442109539
2022-08-02 00:00:00,1898.4667297367523
2022-08-02 01:00:00,1869.6640298527623
2022-08-02 02:00:00,1849.1139939865316
2022-08-02 03:00:00,1838.828453514597
2022-08-02 04:00:00,1833.587344943911
2022-08-02 05:00:00,1833.1672013490352
2022-08-02 06:00:00,1837.6602979077586
2022-08-02 07:00:00,1858.8008800229877
2022-08-02 08:00:00,1910.2067346580905
2022-08-02 09:00:00,1952.835925488329
2022-08-02 10:00:00,1975.684847835089
2022-08-02 11:00:00,1991.005895393584
2022-08-02 12:00:00,1981.6773979249956
2022-08-02 13:00:00,1988.10482402903
2022-08-02 14:00:00,1991.8173274009496
2022-08-02 15:00:00,1985.169246595736
2022-08-02 16:00:00,1983.7719647634167
2022-08-02 17:00:00,1982.4362568232543
2022-08-02 18:00:00,1984.1368946906248
2022-08-02 19:00:00,1988.8571676940078
2022-08-02 20:00:00,1985.3339990359339
2022-08-02 21:00:00,1973.1205795371975
2022-08-02 22:00:00,1953.3664238043868
2022-08-02 23:00:00,1930.0643473547054
2022-08-03 00:00:00,1898.8665685904846
2022-08-03 01:00:00,1870.0638687064948
2022-08-03 02:00:00,1849.513832840264
2022-08-03 03:00:00,1839.2282923683294
2022-08-03 04:00:00,1833.9871837976439
2022-08-03 05:00:00,1833.5670402027674
2022-08-03 06:00:00,1838.0601367614909
2022-08-03 07:00:00,1859.2007188767202
2022-08-03 08:00:00,1910.6065735118232
2022-08-03 09:00:00,1953.2357643420612
2022-08-03 10:00:00,1976.0846866888216
2022-08-03 11:00:00,1991.4057342473163
2022-08-03 12:00:00,1982.077236778728
2022-08-03 13:00:00,1988.5046628827627
2022-08-03 14:00:00,1992.217166254682
2022-08-03 15:00:00,1985.5690854494685
2022-08-03 16:00:00,1984.1718036171492
2022-08-03 17:00:00,1982.836095676987
2022-08-03 18:00:00,1984.5367335443575
2022-08-03 19:00:00,1989.2570065477405
2022-08-03 20:00:00,1985.7338378896663
2022-08-03 21:00:00,1973.52041839093
2022-08-03 22:00:00,1953.7662626581193
2022-08-03 23:00:00,1930.4641862084377
2022-08-04 00:00:00,1901.470594781114
2022-08-04 01:00:00,1872.667894897124
2022-08-04 02:00:00,1852.1178590308932
2022-08-04 03:00:00,1841.8323185589586
2022-08-04 04:00:00,1836.5912099882728
2022-08-04 05:00:00,1836.1710663933968
2022-08-04 06:00:00,1840.66416295212
2022-08-04 07:00:00,1861.804745067349
2022-08-04 08:00:00,1913.2105997024519
2022-08-04 09:00:00,1955.8397905326906
2022-08-04 10:00:00,1978.6887128794508
2022-08-04 11:00:00,1994.0097604379455
2022-08-04 12:00:00,1984.6812629693572
2022-08-04 13:00:00,1991.1086890733918
2022-08-04 14:00:00,1994.8211924453112
2022-08-04 15:00:00,1988.1731116400974
2022-08-04 16:00:00,1986.775829807778
2022-08-04 17:00:00,1985.4401218676162
2022-08-04 18:00:00,1987.1407597349862
2022-08-04 19:00:00,1991.8610327383692
2022-08-04 20:00:00,1988.3378640802955
2022-08-04 21:00:00,1976.1244445815587
2022-08-04 22:00:00,1956.3702888487483
2022-08-04 23:00:00,1933.0682123990664
2022-08-05 00:00:00,1896.0739276072636
2022-08-05 01:00:00,1867.2712277232736
2022-08-05 02:00:00,1846.7211918570429
2022-08-05 03:00:00,1836.4356513851083
2022-08-05 04:00:00,1831.1945428144222
2022-08-05 05:00:00,1830.7743992195465
2022-08-05 06:00:00,1835.2674957782697
2022-08-05 07:00:00,1856.408077893499
2022-08-05 08:00:00,1907.8139325286015
2022-08-05 09:00:00,1950.4431233588402
2022-08-05 10:00:00,1973.2920457056002
2022-08-05 11:00:00,1988.613093264095
2022-08-05 12:00:00,1979.284595795507
2022-08-05 13:00:00,1985.7120218995412
2022-08-05 14:00:00,1989.4245252714609
2022-08-05 15:00:00,1982.7764444662473
2022-08-05 16:00:00,1981.379162633928
2022-08-05 17:00:00,1980.0434546937656
2022-08-05 18:00:00,1981.7440925611359
2022-08-05 19:00:00,1986.4643655645189
2022-08-05 20:00:00,1982.9411969064452
2022-08-05 21:00:00,1970.7277774077083
2022-08-05 22:00:00,1950.9736216748977
2022-08-05 23:00:00,1927.6715452252163
2022-08-06 00:00:00,1874.4049105845893
2022-08-06 01:00:00,1845.6022107005992
2022-08-06 02:00:00,1825.0521748343685
2022-08-06 03:00:00,1814.766634362434
2022-08-06 04:00:00,1809.5255257917481
2022-08-06 05:00:00,1809.1053821968721
2022-08-06 06:00:00,1813.5984787555958
2022-08-06 07:00:00,1834.7390608708247
2022-08-06 08:00:00,1886.1449155059277
2022-08-06 09:00:00,1928.774106336166
2022-08-06 10:00:00,1951.6230286829261
2022-08-06 11:00:00,1966.944076241421
2022-08-06 12:00:00,1957.6155787728326
2022-08-06 13:00:00,1964.0430048768671
2022-08-06 14:00:00,1967.7555082487866
2022-08-06 15:00:00,1961.107427443573
2022-08-06 16:00:00,1959.7101456112537
2022-08-06 17:00:00,1958.3744376710915
2022-08-06 18:00:00,1960.075075538462
2022-08-06 19:00:00,1964.795348541845
2022-08-06 20:00:00,1961.2721798837708
2022-08-06 21:00:00,1949.0587603850345
2022-08-06 22:00:00,1929.3046046522238
2022-08-06 23:00:00,1906.0025282025422
2022-08-07 00:00:00,1846.9977821283533
2022-08-07 01:00:00,1818.1950822443637
2022-08-07 02:00:00,1797.645046378133
